country,group,SDG.Index.Score,AMS
Argentina,4,72.7,-1.827790114
Austria,5,83.1,-4.764561097
Belgium,5,79.4,0.344969382
Bolivia,4,68.7,8.240360832
Brazil,4,72.9,5.664617207
Bulgaria,5,74.7,-4.671032826
Canada,5,78.4,2.96043716
Chile,4,77.4,-4.364658899
China,5,71.6,5.348388697
Colombia,4,69.4,10.54490121
Czech Republic,5,81.8,0.050960386
Ecuador,4,70.2,5.575944026
France,5,81.6,-1.227398356
Germany,5,83,-2.233800803
Greece,5,77.8,-4.764536858
Hungary,5,79.6,-3.242154747
India,2,62.6,9.45103131
Indonesia,4,69.2,7.722876469
Iran,3,68.9,-2.4480865
Ireland,5,79.3,-4.091126442
Italy,5,78.6,1.208579659
Mexico,4,69.1,3.477322423
Mongolia,3,64.9,7.780921737
Nepal,2,66.3,7.767952681
Netherlands,5,79.3,0.378362509
Nigeria,1,53.3,8.373216152
Pakistan,2,58.6,-0.074665308
Paraguay,4,68.7,6.230908966
Philippines,4,66.4,7.036528587
Poland,5,80.6,-1.978287816
Portugal,5,79.7,-3.588604053
Romania,5,77.1,-7.570963919
Slovakia,5,79.6,-4.627926586
South Africa,4,63.8,1.750200331
Spain,5,80,-0.913321114
Thailand,5,73.8,9.473594109
Turkey,5,70.6,2.024647236
UK,5,81.3,-2.586322784
Uruguay,4,77.2,2.83252275
USA,5,75.6,0.144832536
Venezuela,4,61.1,7.399787426
Vietnam,3,71.8,8.366715145
