"","conf.low","conf.high","mean"
"1",22.5531951196193,36.548474206924,29.3617091830789
"2",10.1998946263038,49.1092484549222,28.1866742978372
"3",15.5122581754954,34.3743056799885,24.5868351386284
"4",2.16468059702204,93.0119550148228,40.4243737229978
"5",-12.5065174479598,29.8074989216207,6.57068143735779
"6",25.5711153162338,53.0217411712888,38.6185799469565
"7",-3.73673478520005,19.1910037341679,7.11542934461131
"8",2.9551046283167,11.0239707628486,6.91344408511143
"9",-0.366047610650722,11.1434132314749,5.23144749690818
"10",7.64884605373624,33.683136677693,19.9618080898982
"11",1.93499609152701,25.9907529305309,13.3263733979968
"12",20.2044334630993,59.1453387172036,38.3111538481062
