"","POC.ck","POC.csd","POC.cn","POC.t","POC.tsd","POC.tn","yi","vi"
"1",1.56,0.74,4,1.74,0.74,4,0.109199291964992,0.101471443000529
"2",1.4,0.291,4,3.49,0.871,4,0.913429499593123,0.0263724692127038
"3",1.4,0.291,4,2.58,0.644,4,0.611317162312313,0.0263777359046196
"4",0.46,0.0956,4,0.7,0.175,4,0.419853845560264,0.0264229206049149
"5",0.46,0.0956,4,0.7,0.175,4,0.419853845560264,0.0264229206049149
"6",0.17,0.0353,4,0.34,0.0849,4,0.693147180559945,0.0263675821799308
"7",0.17,0.0353,4,0.43,0.107,4,0.927986771637346,0.0262593144428579
"8",0.05,0.0104,4,0.04,0.00999,4,-0.22314355131421,0.026409765625
"9",0.05,0.0104,4,0.18,0.0449,4,1.28093384546206,0.0263716327160494
"10",NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA
"20",3.216,1.053086891,3,4.48,0.443405007,3,0.331484695110174,0.0390069956883253
"21",1.333333333,0.267890525,3,1.44,0.249415316,3,0.0769610413861284,0.0234559999931256
"22",2.72,0.415692194,3,4.944,2.383301911,3,0.597542839847484,0.0852459042759752
"23",0.634666667,0.304840942,3,0.656,0.19398969,3,0.0330608617356781,0.106050664376219
"24",3.6,2.632717228,3,3.04,2.189312221,3,-0.169076330043934,0.351152491468731
"25",1.376,1.718194401,3,2.736,1.829045653,3,0.687316260249152,0.668709313696409
"26",0.416,0.138564065,3,1.872,2.327876285,3,1.50407739677627,0.5524326101705
"27",3.888,0.563493863,3,4.602666667,2.992983795,3,0.168740959147192,0.147952804758836
"28",NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA
"31",4.8,0.998,3,4.48,1.12,3,-0.0689928714869513,0.0352431134259259
"32",4.8,0.998,3,5.44,1.36,3,0.125163142954006,0.0352431134259259
"33",3.04,0.632,3,3.2,0.799,3,0.0512932943875505,0.0351880230876327
"34",3.04,0.632,3,3.68,0.919,3,0.191055236762709,0.0351948086278619
"35",2.8,0.582,3,2.56,0.639,3,-0.089612158689687,0.0351698106415418
"36",2.8,0.582,3,3.12,0.779,3,0.108213584640233,0.0351814793849821
"37",3.47,0.572,4,5.59,1.22,4,0.47682469320824,0.0187011039135799
"38",3.47,0.572,4,4.88,0.94,4,0.340990625906288,0.0160690802074201
"39",3.47,0.572,4,6.06,1.04,4,0.557555206122455,0.0141562924606793
"40",3.47,0.572,4,5.27,1.78,4,0.417875768594503,0.0353137881306038
"41",NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA
"44",2.4,0.499,3,3.2,0.799,3,0.287682072451781,0.0351910626446759
"45",2.4,0.499,3,3.8,0.949,3,0.45953232937844,0.035199276860829
"46",0.8,0.166,3,0.7,0.175,3,-0.133531392624523,0.0351854166666667
"47",0.8,0.166,3,1,0.25,3,0.22314355131421,0.0351854166666667
"48",0.5,0.104,3,0.5,0.125,3,0,0.0352546666666667
"49",0.5,0.104,3,0.7,0.175,3,0.336472236621213,0.0352546666666667
"50",0.4,0.0832,3,0.4,0.0999,3,0,0.0352130208333333
"51",0.4,0.0832,3,0.5,0.125,3,0.22314355131421,0.0352546666666667
"52",0.4,0.0832,3,0.4,0.0999,3,0,0.0352130208333333
"53",0.4,0.0832,3,0.5,0.125,3,0.22314355131421,0.0352546666666667
"54",0.3,0.0624,3,0.3,0.0749,3,0,0.0351991481481481
"55",0.3,0.0624,3,0.2,0.0499,3,-0.405465108108164,0.0351714166666667
"56",4.85,1.01,3,6.5,1.62,3,0.2928234719522,0.0351609884614651
"57",3.03,0.63,3,2.96,0.74,3,-0.0233733511853087,0.0352436852596151
"58",1.64,0.341,3,1.95,0.488,3,0.173133130739548,0.0352872790679968
"59",1.58,0.328,3,1.7,0.424,3,0.0732034040232949,0.0351006287069528
"60",6.55,1.36,3,14.3,3.56,3,0.780794487618701,0.035029443850274
"61",2.02,0.42,3,2.65,0.662,3,0.271462128585018,0.0352122505853538
"62",1.58,0.328,3,1.7,0.424,3,0.0732034040232949,0.0351006287069528
"63",0.818,0.17,3,0.945,0.236,3,0.144322590890996,0.0351861978568335
"64",1.744,0.363,3,3.984,0.995,3,0.826105014235564,0.0352325790598828
"65",1.744,0.363,3,4.752,1.19,3,1.00238425657356,0.0353445970104074
"66",6.21474,0.70554,3,9.36138,0.44067,3,0.409668825703659,0.00503474532067018
"67",5,1.04,4,5,1.25,4,0,0.026441
"68",6,1.25,4,8,2,4,0.287682072451781,0.0264756944444444
"69",2,0.416,4,5,1.25,4,0.916290731874155,0.026441
"70",2,0.416,4,4,0.999,4,0.693147180559945,0.026409765625
"71",2.98,0.156,3,3.6,0.346,3,0.189010544944751,0.00399258759244708
"72",2.98,0.156,3,3.65,0.173,3,0.202803867077087,0.0016623057932692
"73",2.98,0.156,3,3.89,0.346,3,0.266485857113042,0.00355060358605487
"74",3.23,0.277,3,4.03,0.173,3,0.221284238724026,0.00306577976816081
"75",3.23,0.277,3,3.68,0.346,3,0.130430614946274,0.00539820338030582
"76",3.23,0.277,3,3.76,0.398,3,0.151936820167238,0.00618632347523454
"77",1.58,0.256,4,2,0.48,4,0.23572233352107,0.0209630507931421
"78",1.58,0.256,4,2.2,0.352,4,0.331032513325395,0.0129630507931421
"79",1.58,0.256,4,2.2,0.192,4,0.331032513325395,0.00846718302454708
"80",0.864,0.192,4,0.904,0.272,4,0.0452565915881209,0.0349786181618484
"81",0.864,0.192,4,1.06,0.144,4,0.204451418302057,0.0169594205573795
"82",0.864,0.192,4,1.1,0.16,4,0.241492689982406,0.0176349352106928
"83",NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA,NA,NA,NA
