MAOC.ck,MAOC.csd,MAOC.cn,MAOC.t,MAOC.tsd,MAOC.tn
1.10E+01,8.00E-01,4,1.26E+01,1.00E+00,4
4.88,0.29883656,4,7.27,0.41076227,4
4.88,0.29883656,4,7.71,0.43562271,4
5.04,0.30863448,4,4.98,0.28137498,4
5.04,0.30863448,4,7.23,0.40850223,4
3.11,0.19044707,4,3.78,0.21357378,4
3.11,0.19044707,4,3.71,0.20961871,4
1.75,0.10716475,4,2.39,0.13503739,4
1.75,0.10716475,4,2.48,0.14012248,4
8.30E+00,1.43E+00,4,7.50E+00,1.16E+00,4
1.25E+01,1.70E+00,4,1.44E+01,4.00E-01,4
1.15E+01,1.20E+00,4,1.04E+01,1.20E+00,4
1.33E+01,2.10E+00,4,1.41E+01,1.30E+00,4
3.14E+00,2.00E-02,4,3.16E+00,7.00E-02,4
3.33E+00,9.00E-02,4,3.77E+00,2.30E-01,4
2.98E+00,7.00E-02,4,2.98E+00,4.00E-02,4
3.16E+00,1.00E-01,4,3.60E+00,1.90E-01,4
3.60E+00,1.20E-01,4,3.96E+00,1.20E-01,4
3.38E+00,4.00E-02,4,3.64E+00,1.40E-01,4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
3.19E+00,7.00E-02,3,4.72E+00,1.30E-01,3
4.13E+00,1.10E-01,3,4.10E+00,1.00E-02,3
4.60E+00,1.50E-01,3,3.57E+00,1.30E-01,3
3.54E+01,2.16534032,3,34.72,1.96171472,3
3.54E+01,2.16534032,3,27.04,1.52778704,3
3.46E+01,2.11635072,3,37.12,2.09731712,3
3.46E+01,2.11635072,3,30.56,1.72667056,3
3.67E+01,2.24862264,3,43.6,2.4634436,3
3.67E+01,2.24862264,3,36.24,2.04759624,3
7.58E+00,8.40E-01,4,8.00E+00,6.40E-01,4
7.58E+00,8.40E-01,4,9.20E+00,8.60E-01,4
7.58E+00,8.40E-01,4,7.75E+00,2.80E-01,4
7.58E+00,8.40E-01,4,9.91E+00,1.78E+00,4
1.15E+01,2.00E-01,3,9.69E+00,4.75E-01,3
1.15E+01,2.00E-01,3,1.04E+01,2.95E-01,3
1.15E+01,2.00E-01,3,1.16E+01,5.50E-01,3
1.22E+01,0.7470914,3,1.27E+01,0.7175627,3
1.22E+01,0.7470914,3,1.36E+01,0.7684136,3
1.04E+01,0.6368648,3,1.18E+01,0.6667118,3
1.04E+01,0.6368648,3,1.09E+01,0.6158609,3
1.06E+01,0.6491122,3,1.11E+01,0.6271611,3
1.06E+01,0.6491122,3,9.30E+00,0.5254593,3
1.07E+01,0.6552359,3,12.4,0.7006124,3
1.07E+01,0.6552359,3,8.7,0.4915587,3
9.70E+00,0.5939989,3,9.9,0.5593599,3
9.70E+00,0.5939989,3,9.4,0.5311094,3
9.70E+00,0.5939989,3,9.6,0.5424096,3
9.70E+00,0.5939989,3,11.2,0.6328112,3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
17.1795,0.7692,3,18.46155,0.96155,3
18,1.102266,4,18,1.017018,4
21,1.285977,4,21,1.186521,4
18,1.102266,4,18,1.017018,4
21,1.285977,4,19,1.073519,4
6.00E+00,2.42E-01,3,6.30E+00,1.56E-01,3
6.00E+00,2.42E-01,3,6.55E+00,1.21E-01,3
6.00E+00,2.42E-01,3,6.21E+00,1.56E-01,3
6.39E+00,2.08E-01,3,6.67E+00,1.56E-01,3
6.39E+00,2.08E-01,3,6.62E+00,2.08E-01,3
6.39E+00,2.08E-01,3,6.21E+00,1.21E-01,3
6.86E+00,1.92E-01,4,7.58E+00,3.04E-01,4
6.86E+00,1.92E-01,4,7.58E+00,4.32E-01,4
6.86E+00,1.92E-01,4,7.64E+00,3.04E-01,4
6.70E+00,1.76E-01,4,7.05E+00,3.04E-01,4
6.70E+00,1.76E-01,4,6.74E+00,2.40E-01,4
6.70E+00,1.76E-01,4,6.79E+00,1.92E-01,4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
