cellulase.ck,cellulase.csd,cellulase.cn,cellulase.t,cellulase.tsd,cellulase.tn
16.1,3.676955262,8,21.7,3.959797975,8
59,1.528361633,3,68.5294,1.42634384,3
8.08E+01,2.46E+01,4,9.67E+01,1.86E+01,4
8.08E+01,2.46E+01,4,6.90E+01,6.40E+00,4
5.76E+01,1.38E+01,4,8.08E+01,5.00E+00,4
5.76E+01,1.38E+01,4,5.18E+01,1.16E+01,4
1.09E+02,1.40E+01,4,8.86E+01,1.80E+01,4
1.09E+02,1.40E+01,4,8.12E+01,2.04E+01,4
4.94E+01,8.20E+00,4,7.22E+01,9.80E+00,4
4.94E+01,8.20E+00,4,6.45E+01,1.06E+01,4
7.43E+01,1.54E+01,4,7.96E+01,1.80E+01,4
7.43E+01,1.54E+01,4,8.45E+01,2.62E+01,4
6.33E+01,1.06E+01,4,6.73E+01,8.20E+00,4
6.33E+01,1.06E+01,4,6.49E+01,9.80E+00,4
7.80E+01,3.26E+01,4,8.24E+01,2.62E+01,4
7.80E+01,3.26E+01,4,6.82E+01,9.00E+00,4
5.10E+01,3.40E+00,4,5.80E+01,1.22E+01,4
5.10E+01,3.40E+00,4,6.69E+01,1.48E+01,4
1.45E+01,2.97E+00,4,32.2,4.9307538,4
1.45E+01,2.97E+00,4,20.2,3.0932058,4
5.34E+01,1.09E+01,4,79.9,12.2350071,4
5.34E+01,1.09E+01,4,80.7,12.3575103,4
5.25E+01,1.08E+01,4,56.5,8.6517885,4
5.25E+01,1.08E+01,4,64.9,9.9380721,4
1.35E+02,2.77E+01,3,1.73E+02,26.491317,3
1.35E+02,2.77E+01,3,1.42E+02,21.744318,3
1.35E+02,2.77E+01,3,2.23E+02,34.147767,3
1.35E+02,2.77E+01,3,1.77E+02,27.103833,3
2.19E+02,4.49E+01,3,2.62E+02,40.119798,3
2.19E+02,4.49E+01,3,1.81E+02,27.716349,3
2.19E+02,4.49E+01,3,2.58E+02,39.507282,3
2.19E+02,4.49E+01,3,2.88E+02,44.101152,3
1.46E+02,2.99E+01,3,1.62E+02,24.806898,3
1.46E+02,2.99E+01,3,1.58E+02,24.194382,3
1.46E+02,2.99E+01,3,2.27E+02,34.760283,3
1.46E+02,2.99E+01,3,1.65E+02,25.266285,3
1.62E+02,3.32E+01,3,1.54E+02,23.581866,3
1.62E+02,3.32E+01,3,1.50E+02,22.96935,3
1.62E+02,3.32E+01,3,2.58E+02,39.507282,3
1.62E+02,3.32E+01,3,1.96E+02,30.013284,3
1.15E+02,2.36E+01,3,1.38E+02,21.131802,3
1.15E+02,2.36E+01,3,1.38E+02,21.131802,3
1.15E+02,2.36E+01,3,1.81E+02,27.716349,3
1.15E+02,2.36E+01,3,1.62E+02,24.806898,3
6.54E+01,1.34E+01,3,1.31E+02,20.059899,3
6.54E+01,1.34E+01,3,1.12E+02,17.150448,3
6.54E+01,1.34E+01,3,1.54E+02,23.581866,3
6.54E+01,1.34E+01,3,1.23E+02,18.834867,3
1.00E+02,2.05E+01,3,1.00E+02,15.3129,3
1.00E+02,2.05E+01,3,1.00E+02,15.3129,3
1.00E+02,2.05E+01,3,1.12E+02,17.150448,3
1.00E+02,2.05E+01,3,9.23E+01,14.1338067,3
5.00E+01,1.02E+01,3,1.31E+02,20.059899,3
5.00E+01,1.02E+01,3,1.38E+02,21.131802,3
5.00E+01,1.02E+01,3,1.04E+02,15.925416,3
5.00E+01,1.02E+01,3,6.15E+01,9.4174335,3
1.39E+02,2.85E+01,3,1.63E+02,24.960027,3
1.39E+02,2.85E+01,3,1.57E+02,24.041253,3
1.39E+02,2.85E+01,3,1.88E+02,28.788252,3
1.39E+02,2.85E+01,3,1.82E+02,27.869478,3
2.47E+02,5.06E+01,3,2.61E+02,39.966669,3
2.47E+02,5.06E+01,3,2.61E+02,39.966669,3
2.47E+02,5.06E+01,3,3.43E+02,52.523247,3
2.47E+02,5.06E+01,3,3.84E+02,58.801536,3
1.33E+02,2.73E+01,3,1.92E+02,29.400768,3
1.33E+02,2.73E+01,3,1.67E+02,25.572543,3
1.33E+02,2.73E+01,3,2.02E+02,30.932058,3
1.33E+02,2.73E+01,3,1.86E+02,28.481994,3
1.10E+02,2.25E+01,3,1.67E+02,25.572543,3
1.10E+02,2.25E+01,3,1.92E+02,29.400768,3
1.10E+02,2.25E+01,3,2.55E+02,39.047895,3
1.10E+02,2.25E+01,3,1.92E+02,29.400768,3
1.14E+02,2.34E+01,3,1.82E+02,27.869478,3
1.14E+02,2.34E+01,3,1.47E+02,22.509963,3
1.14E+02,2.34E+01,3,1.63E+02,24.960027,3
1.14E+02,2.34E+01,3,1.43E+02,21.897447,3
1.24E+02,2.54E+01,3,1.49E+02,22.816221,3
1.24E+02,2.54E+01,3,1.49E+02,22.816221,3
1.24E+02,2.54E+01,3,1.73E+02,26.491317,3
1.24E+02,2.54E+01,3,1.47E+02,22.509963,3
8.82E+01,1.81E+01,3,1.63E+02,24.960027,3
8.82E+01,1.81E+01,3,1.14E+02,17.456706,3
8.82E+01,1.81E+01,3,8.82E+01,13.5059778,3
8.82E+01,1.81E+01,3,1.00E+02,15.3129,3
5.69E+01,1.17E+01,3,8.82E+01,13.5059778,3
5.69E+01,1.17E+01,3,1.04E+02,15.925416,3
5.69E+01,1.17E+01,3,6.86E+01,10.5046494,3
5.69E+01,1.17E+01,3,9.22E+01,14.1184938,3
1.35E+02,2.77E+01,3,1.35E+02,20.672415,3
1.35E+02,2.77E+01,3,1.46E+02,22.356834,3
1.35E+02,2.77E+01,3,1.92E+02,29.400768,3
1.35E+02,2.77E+01,3,2.00E+02,30.6258,3
2.04E+02,4.18E+01,3,2.85E+02,43.641765,3
2.04E+02,4.18E+01,3,4.00E+02,61.2516,3
2.04E+02,4.18E+01,3,4.00E+02,61.2516,3
2.04E+02,4.18E+01,3,4.58E+02,70.133082,3
1.77E+02,3.63E+01,3,1.46E+02,22.356834,3
1.77E+02,3.63E+01,3,1.58E+02,24.194382,3
1.77E+02,3.63E+01,3,1.88E+02,28.788252,3
1.77E+02,3.63E+01,3,1.73E+02,26.491317,3
1.15E+02,2.36E+01,3,1.96E+02,30.013284,3
1.15E+02,2.36E+01,3,1.08E+02,16.537932,3
1.15E+02,2.36E+01,3,2.23E+02,34.147767,3
1.15E+02,2.36E+01,3,1.85E+02,28.328865,3
1.23E+02,2.52E+01,3,1.50E+02,22.96935,3
1.23E+02,2.52E+01,3,1.46E+02,22.356834,3
1.23E+02,2.52E+01,3,1.92E+02,29.400768,3
1.23E+02,2.52E+01,3,2.04E+02,31.238316,3
8.46E+01,1.73E+01,3,1.35E+02,20.672415,3
8.46E+01,1.73E+01,3,1.35E+02,20.672415,3
8.46E+01,1.73E+01,3,1.65E+02,25.266285,3
8.46E+01,1.73E+01,3,2.08E+02,31.850832,3
8.08E+01,1.66E+01,3,1.04E+02,15.925416,3
8.08E+01,1.66E+01,3,1.00E+02,15.3129,3
8.08E+01,1.66E+01,3,8.85E+01,13.5519165,3
8.08E+01,1.66E+01,3,1.27E+02,19.447383,3
5.38E+01,1.10E+01,3,8.85E+01,13.5519165,3
5.38E+01,1.10E+01,3,1.04E+02,15.925416,3
5.38E+01,1.10E+01,3,5.38E+01,8.2383402,3
5.38E+01,1.10E+01,3,7.69E+01,11.7756201,3
9.23E+01,2.07E+01,3,1.12E+02,1.20E+01,3
9.23E+01,2.07E+01,3,8.10E+01,9.70E+00,3
9.23E+01,2.07E+01,3,7.43E+01,1.54E+01,3
9.23E+01,2.07E+01,3,7.87E+01,1.60E+01,3
2.04E+02,5.10E+00,3,3.03E+02,9.18E+00,3
7.03E+01,5.97E+00,3,9.55E+01,4.85E+00,3
2.79E+01,2.30E+00,3,6.40E+01,4.59E+00,3
8.83E+01,8.52E+00,3,9.01E+01,7.60E+00,3
7.75E+01,3.21E+00,3,7.66E+01,2.76E+00,3
6.85E+01,5.51E+00,3,5.68E+01,3.67E+00,3
3.92E+02,9.00E+01,4,5.90E+02,1.20E+02,4
3.98E+02,1.40E+02,4,3.76E+02,6.40E+01,4
3.20E+00,6.56E-01,3,3.6,0.5512644,3
3.20E+00,6.56E-01,3,4,0.612516,3
3.20E+00,6.56E-01,3,4.1,0.6278289,3
2.80E+00,5.74E-01,3,3.1,0.4746999,3
2.80E+00,5.74E-01,3,3.3,0.5053257,3
2.80E+00,5.74E-01,3,3.4,0.5206386,3
2.20E+00,4.51E-01,3,2.3,0.3521967,3
2.20E+00,4.51E-01,3,2.5,0.3828225,3
2.20E+00,4.51E-01,3,2.6,0.3981354,3
7.95E+00,1.63E+00,3,8.71,1.33375359,3
5.15E+00,1.06E+00,3,11.4,1.7456706,3
2.42E+01,4.96E+00,3,43.7,6.6917373,3
3.09E+01,6.33E+00,3,49.8,7.6258242,3
21.1,4.32E+00,3,27.4,4.1957346,3
24.1,4.94E+00,3,31.6,4.8388764,3
20.1,4.12E+00,3,28.5,4.3641765,3
23.1,4.73E+00,3,30.8,4.7163732,3
13.4,2.75E+00,3,19.8,3.0319542,3
16.6,3.40E+00,3,24.4,3.7363476,3
80.4,1.65E+01,4,99.7,15.2669613,4
